#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
16.8%,16750,583.2286376953125,295.6639475670277
16.8%,16800,615.160888671875,291.340538893599
16.9%,16850,604.8739013671875,320.00204214610244
16.9%,16900,614.57763671875,263.75791284036956
16.9%,16950,597.0292358398438,300.6330726562854
17.0%,17000,631.678955078125,273.0958909725177
17.1%,17050,622.6495361328125,280.38135536212036
17.1%,17100,634.9464721679688,291.97781170176705
17.1%,17150,654.679443359375,302.3096135257871
17.2%,17200,623.2948608398438,312.60006937039174
17.2%,17250,676.8588256835938,297.30675564914753
17.3%,17300,665.1416625976562,293.8201507053013
17.4%,17350,627.1595458984375,334.0926141017896
17.4%,17400,618.866455078125,342.13929720898534
17.4%,17450,702.3076171875,320.0208669072114
17.5%,17500,696.4566040039062,303.96678020155593
17.6%,17550,683.30908203125,304.32499283844953
17.6%,17600,678.227294921875,316.1869526028636
17.6%,17650,696.4482421875,342.3642930588461
17.7%,17700,690.40966796875,347.43313124103275
17.8%,17750,718.4036865234375,318.36698301366215
17.8%,17800,722.623046875,308.3900753083732
17.9%,17850,697.6377563476562,315.25458206718343
17.9%,17900,668.2569580078125,348.82826165326475
17.9%,17950,703.5328979492188,316.69181054848247
18.0%,18000,604.5775756835938,366.9129518570737
18.1%,18050,672.5335693359375,329.76147861845755
18.1%,18100,651.365234375,347.651296107835
18.1%,18150,699.7896728515625,347.13348027378646
18.2%,18200,667.455078125,336.4759169535055
18.2%,18250,662.0408325195312,331.7213342806852
18.3%,18300,668.4110107421875,323.5064641145315
18.4%,18350,675.110595703125,340.53038051441393
18.4%,18400,708.025146484375,308.405408174856
18.4%,18450,672.6044921875,300.9238755675776
18.5%,18500,667.4781494140625,306.27293579157185
18.6%,18550,665.7391967773438,305.94850697035713
18.6%,18600,666.1038818359375,306.4182223583745
18.6%,18650,641.4930419921875,312.21908215790313
18.7%,18700,679.13232421875,296.7449585889127
18.8%,18750,688.6134033203125,287.9078998509735
18.8%,18800,690.7467651367188,291.1875269090466
18.9%,18850,622.8883056640625,330.2804568847679
